id_kabkota,kab_kota,prov,total_prod,loss_multi_nonclimate_rp25,loss_multi_nonclimate_rp50,loss_multi_nonclimate_rp100,loss_multi_nonclimate_rp250,loss_multi_climate_rp25,loss_multi_climate_rp50,loss_multi_climate_rp100,loss_multi_climate_rp250,aal_nonclimate_v2,aal_climate_v2
3309,Boyolali,Jawa Tengah,293909.04,1337226606383.3433,1408876611696.4336,1419145477477.6921,1430566160011.7146,1423489346746.062,1433582830776.1948,1441231170401.785,1456433608664.2498,55872542179.18348,57463520552.96757
3310,Klaten,Jawa Tengah,338083.63,1270326017636.9966,1381946649908.0642,1394668846688.8486,1412210342735.94,1417307670595.7107,1430600330350.5852,1440550356472.5706,1462419623028.0923,54475283097.653305,57393421874.1931
3311,Sukoharjo,Jawa Tengah,308529.08,1265491147871.0537,1354101469159.121,1377041430078.3962,1405953384345.8943,1384224457301.1265,1410195271696.982,1430369510975.212,1466202336692.5376,53824438647.14578,56701546093.115456
3312,Wonogiri,Jawa Tengah,383143.3,1900391414121.5574,1959475789707.4841,1971111572367.8374,1985759059920.4858,1971050721889.9739,1985243005890.339,1995803791535.8762,2016598145457.3772,78065256985.21394,79571769657.74348
3313,Karanganyar,Jawa Tengah,268582.78,1255614251518.3306,1323120466696.0515,1325187552227.9016,1330656534715.0483,1325864886140.2468,1328373086971.1196,1332146274979.3425,1338894319957.1482,52319045676.45262,53213675605.504036
3314,Sragen,Jawa Tengah,626632.73,2723589416624.125,2911073463257.49,2944636662587.4336,2982345610068.6675,2929152973173.5654,2968209163657.693,2996489533335.414,3044062759171.1987,115335508686.28375,119095022767.48274
3315,Grobogan,Jawa Tengah,778895.15,3075633308798.4155,3362288895654.1353,3404816357488.6797,3457980581477.0513,3400344516420.717,3448426439444.2437,3483981286465.556,3553089098378.5107,132635061453.04498,138473315736.24484
3316,Blora,Jawa Tengah,481758.33,1982825268304.219,2115575609207.3916,2135000029497.9546,2159930846615.8752,2135212758327.4148,2156656038428.7454,2174008860151.6462,2206880848792.5327,83761402983.44783,86542204982.46623
3317,Rembang,Jawa Tengah,179211.77,737148783109.0481,782718381429.5967,787545229116.9108,793955761196.7872,790758918806.6956,795954747559.5718,800485856436.4222,808404898022.2004,30970315713.847225,31909631539.10732
3318,Pati,Jawa Tengah,587469.44,2095401778387.1758,2320770414043.18,2346818370739.715,2381166397027.005,2352894191546.3804,2384579001434.574,2408941894327.979,2455480006587.385,91208285739.6262,95757522137.71794
3319,Kudus,Jawa Tengah,195692.08,697056300193.6389,766930398241.3202,776074928748.7875,787668724888.8789,777965723483.7155,788860029679.2391,797518192460.5173,814215619363.8976,30196799479.768642,31692212555.257164
3320,Jepara,Jawa Tengah,203279.05,779835826957.9236,846934181552.4781,853309445580.2277,861605768119.5116,854796388248.4489,861892849943.6376,869825118540.7571,882496753165.9912,33360086934.34481,34612434852.127045
3321,Demak,Jawa Tengah,615685.96,1888769896737.9353,2202926604793.7544,2239784288146.2163,2292048200705.987,2235328637813.633,2281779085984.2407,2320544002055.221,2397741671292.4404,85894209749.39731,91928516383.3888
3322,Semarang,Jawa Tengah,137763.91,,,,,,,,,,
3323,Temanggung,Jawa Tengah,56887.24,301799970938.9016,309736661433.2343,311501108798.4137,312994511980.3252,311757368317.6987,313225186268.93677,314531514717.653,315415145223.3801,12347020085.137117,12540109611.515924
3324,Kendal,Jawa Tengah,161073.29,616946512212.2854,671651838415.7484,680870205767.3882,693119336439.6483,682173338453.9401,693022526612.8956,702073418313.1965,721248414143.8699,26543039699.575726,27882397529.2455
3325,Batang,Jawa Tengah,130915.33,,,,,,,,,,
3326,Pekalongan,Jawa Tengah,164951.88,626839451149.8932,671911993509.9243,676582434007.9264,683823634798.3197,690819889094.4398,693861143729.6372,697130336647.4513,706309595447.3683,26546499329.799446,27837325908.200146
3327,Pemalang,Jawa Tengah,390777.57,1363162136935.2585,1502028190951.001,1518861915784.5193,1539315670679.0054,1530872595181.3845,1544914719561.191,1557229095621.4785,1584334904996.2944,59088149254.64679,62030623845.17759
3328,Tegal,Jawa Tengah,341113.01,1275587082713.2202,1424522638777.552,1427278127098.1902,1431449130409.9875,1436474371391.8633,1439727723821.2498,1441994262073.8794,1452288714367.744,55562079338.45093,57662634668.402626
3329,Brebes,Jawa Tengah,442225.87,1674329861026.3142,1866489317008.3345,1878760489623.514,1894238779343.9011,1884396077307.425,1897100774151.003,1906453157301.9138,1931819464650.4456,73030393737.78357,76074833896.30772
