kategori_bencana,kabupaten,SUM(jumlah_kejadian)
Banjir,Nabire,10.0
Kekeringan,Maluku Tengah,3.0
Banjir,Magetan,28.0
Banjir,Nunukan,45.0
Kekeringan,Asahan,1.0
Banjir,Bengkalis,31.0
Kekeringan,Kutai Timur,1.0
Kekeringan,Pinrang,3.0
Banjir,Pekalongan,67.0
Banjir,Lampung Barat,32.0
Kekeringan,Sidoarjo,2.0
Banjir,Kota Makassar,26.166666999459267
Kekeringan,Polewali Mandar,4.0
Banjir,Kepulauan Tanimbar,5.0
Kekeringan,Kota Makassar,2.0
Banjir,Bengkulu Utara,24.0
Banjir,Ngada,3.0
Banjir,Ogan Komering Ulu,57.0
Banjir,Banjar,57.76785700023174
Banjir,Gunungkidul,11.0
Kekeringan,Sabu Raijua,3.0
Kekeringan,Cirebon,23.0
Banjir,Kepulauan Anambas,8.0
Banjir,Maluku Barat Daya,2.0
Banjir,Merauke,3.0
Kekeringan,Kota Gunungsitoli,2.0
Banjir,Sumba Tengah,4.0
Kekeringan,Lamongan,9.0
Banjir,Kota Adm. Jakarta Selatan,89.66666633089386
Banjir,Kepulauan Meranti,7.0
Banjir,Kota Kotamobagu,6.0
Banjir,Halmahera Selatan,27.0
Banjir,Kota Metro,1.0
Banjir,Parigi Moutong,121.50000001490116
Banjir,Pandeglang,70.3666670024395
Kekeringan,Tanah Datar,6.0
Kekeringan,Kampar,1.0
Kekeringan,Majene,2.0
Banjir,Pasaman Barat,55.0
Banjir,Kota Bogor,56.2
Banjir,Pidie,46.0
Kekeringan,Banggai,1.0
Banjir,Batu Bara,51.0
Kekeringan,Nganjuk,7.0
Banjir,Kota Subulussalam,38.16666699945927
Kekeringan,Brebes,8.0
Kekeringan,Tanah Laut,2.0
Banjir,Luwu Timur,45.0
Kekeringan,Merauke,1.0
Kekeringan,Muna,2.0
Kekeringan,Aceh Jaya,1.0
Banjir,Kepulauan Talaud,4.0
Banjir,Sragen,62.41666699945927
Banjir,Sidenreng Rappang,41.75
Banjir,Bengkayang,44.0
Kekeringan,Toraja Utara,1.0
Banjir,Lombok Barat,57.0
Kekeringan,Luwu Timur,1.0
Banjir,Halmahera Utara,33.0
Banjir,Rembang,31.0
Banjir,Maybrat,2.0
Banjir,Kota Bau Bau,24.0
Banjir,Jombang,77.0
Banjir,Pangandaran,39.0
Kekeringan,Lebak,8.0
Banjir,Serang,140.7000003357728
Kekeringan,Batang,2.0
Kekeringan,Ciamis,19.0
Banjir,Tanjung Jabung Timur,17.0
Kekeringan,Samosir,1.0
Banjir,Sidoarjo,65.0
Kekeringan,Sampang,2.0
Banjir,Toba,6.0
Banjir,Maros,11.166666999459267
Banjir,Lebak,71.70000033577283
Banjir,Ogan Komering Ilir,37.33333298563957
Banjir,Supiori,4.0
Kekeringan,Karawang,8.0
Kekeringan,Sumedang,12.0
Banjir,Wakatobi,3.0
Banjir,Manokwari,25.0
Banjir,Rejang Lebong,10.0
Kekeringan,Kota Bogor,5.0
Banjir,Lampung Utara,14.0
Banjir,Majene,13.0
Kekeringan,Banyumas,17.11111111111111
Kekeringan,Kota Cilegon,1.0
Banjir,Kutai Timur,40.33333298563957
Kekeringan,Kotawaringin Barat,3.0
Banjir,Nagan Raya,46.6166670024395
Banjir,Tangerang,43.70000033577283
Kekeringan,Sumba Barat Daya,2.0
Kekeringan,Jombang,2.0
Kekeringan,Konawe Selatan,2.0
Banjir,Sampang,47.0
Banjir,Lingga,7.0
Banjir,Pohuwato,52.0
Kekeringan,Boalemo,2.25
Kekeringan,Tulang Bawang,2.0
Banjir,Lampung Selatan,65.0
Banjir,Buru,18.0
Banjir,Situbondo,63.5
Kekeringan,Garut,13.0
Kekeringan,Kayong Utara,1.0
Kekeringan,Rokan Hulu,3.0
Banjir,Bungo,34.0
Kekeringan,Kebumen,8.0
Kekeringan,Kota Pasuruan,1.0
Kekeringan,Bungo,2.0
Banjir,Purbalingga,42.0
Kekeringan,Grobogan,9.11111111111111
Banjir,Tanah Laut,45.5
Banjir,Kota Malang,21.0
Kekeringan,Ogan Komering Ulu Timur,5.0
Banjir,Jember,134.0
Kekeringan,Timor Tengah Utara,3.0
Kekeringan,Tapanuli Selatan,2.0
Banjir,Pesisir Barat,18.0
Banjir,Sanggau,41.0
Banjir,Sumba Barat,4.0
Banjir,Pasuruan,148.0
Kekeringan,Halmahera Barat,1.0
Kekeringan,Lombok Utara,6.0
Kekeringan,Wajo,5.0
Kekeringan,Sleman,1.0
Kekeringan,Tabanan,1.0
Banjir,Sinjai,22.333332985639572
Banjir,Bondowoso,22.5
Kekeringan,Padang Lawas,3.0
Kekeringan,Bandung Barat,12.0
Kekeringan,Tanjung Jabung Timur,3.0
Banjir,Buton Selatan,2.0
Banjir,Lombok Tengah,45.33333298563957
Kekeringan,Kota Blitar,1.0
Banjir,Kota Batu,31.0
Banjir,Bintan,11.0
Kekeringan,Barito Kuala,1.0
Kekeringan,Pasuruan,4.0
Banjir,Merangin,56.5
Kekeringan,Enrekang,3.0
Kekeringan,Muaro Jambi,2.0
Banjir,Kapuas,34.0
Kekeringan,Kota Mojokerto,1.0
Kekeringan,Way Kanan,2.0
Banjir,Bulungan,14.0
Banjir,Tabalong,34.26785700023174
Banjir,Boalemo,54.0
Banjir,Aceh Jaya,75.6166670024395
Banjir,Minahasa Utara,7.200000002980232
Banjir,Kota Salatiga,1.0
Banjir,Kupang,44.0
Kekeringan,Kota Tangerang Selatan,3.0
Banjir,Kota Kupang,13.0
Kekeringan,Sumba Timur,3.0
Kekeringan,Kota Sawahlunto,2.0
Kekeringan,Ende,2.0
Banjir,Kota Bitung,12.0
