id_kabkota,kab_kota,id_prov,prov,tahun,total_prod
7106,Minahasa Utara,71,Sulawesi Utara,2022,5506.58
7107,Minahasa Tenggara,71,Sulawesi Utara,2022,7355.5
7108,Bolaang Mongondow Utara,71,Sulawesi Utara,2022,18031.28
7109,Kepulauan Siau Tagulandang Biaro (Sitaro),71,Sulawesi Utara,2022,0
7110,Bolaang Mongondow Timur,71,Sulawesi Utara,2022,3831.66
7111,Bolaang Mongondow Selatan,71,Sulawesi Utara,2022,7578.19
7171,Manado,71,Sulawesi Utara,2022,0
7172,Bitung,71,Sulawesi Utara,2022,233.62
7173,Tomohon,71,Sulawesi Utara,2022,2399.3
7174,Kotamobagu,71,Sulawesi Utara,2022,18494.03
7201,Banggai,72,Selawesi Tengah,2022,141013.22
7202,Poso,72,Selawesi Tengah,2022,77879.42
7203,Donggala,72,Selawesi Tengah,2022,57266.29
7204,Toli Toli,72,Selawesi Tengah,2022,57937.49
7205,Buol,72,Selawesi Tengah,2022,16798.44
7206,Morowali,72,Selawesi Tengah,2022,35483.73
7207,Banggai Kepulauan,72,Selawesi Tengah,2022,992.99
7208,Parigi Moutong,72,Selawesi Tengah,2022,245039.66
7209,Tojo Una Una,72,Selawesi Tengah,2022,5677.34
7210,Sigi,72,Selawesi Tengah,2022,80066.14
7211,Banggai Laut,72,Selawesi Tengah,2022,0
7212,Morowali Utara,72,Selawesi Tengah,2022,25365.23
7271,Palu,72,Selawesi Tengah,2022,888.75
7301,Kepulauan Selayar,73,Sulawesi Selatan,2022,6710.53
7302,Bulukumba,73,Sulawesi Selatan,2022,208838.17
7303,Bantaeng,73,Sulawesi Selatan,2022,56206.03
7304,Jeneponto,73,Sulawesi Selatan,2022,127923.41
7305,Takalar,73,Sulawesi Selatan,2022,112369.69
7306,Gowa,73,Sulawesi Selatan,2022,231035.1
7307,Sinjai,73,Sulawesi Selatan,2022,103063.58
7308,Bone,73,Sulawesi Selatan,2022,915978.89
7309,Maros,73,Sulawesi Selatan,2022,196087.49
7310,Pangkajene Kepulauan,73,Sulawesi Selatan,2022,118394.01
7311,Barru,73,Sulawesi Selatan,2022,144793.92
7312,Soppeng,73,Sulawesi Selatan,2022,292200.18
7313,Wajo,73,Sulawesi Selatan,2022,797933.74
